"Statistic Label","Year","Enterprise Size Class","UNIT","VALUE"
"Enterprises using Artificial Intelligence for machine learning","2024","Large (250 or more)","%","27.6"
"Enterprises using Artificial Intelligence for machine learning","2025","All Enterprises","%","6"
"Enterprises using Artificial Intelligence for machine learning","2025","Small (10 to 49)","%","4.2"
"Enterprises using Artificial Intelligence for machine learning","2025","Medium (50 to 249)","%","11.6"
"Enterprises using Artificial Intelligence for machine learning","2025","Large (250 or more)","%","27.4"
"Enterprises using Artificial Intelligence for automating workflows or assisting in decision making","2023","All Enterprises","%","4.4"
"Enterprises using Artificial Intelligence for automating workflows or assisting in decision making","2023","Small (10 to 49)","%","2.3"
"Enterprises using Artificial Intelligence for automating workflows or assisting in decision making","2023","Medium (50 to 249)","%","12.2"
"Enterprises using Artificial Intelligence for automating workflows or assisting in decision making","2023","Large (250 or more)","%","21.9"
"Enterprises using Artificial Intelligence for automating workflows or assisting in decision making","2024","All Enterprises","%","6.4"
"Enterprises using Artificial Intelligence for automating workflows or assisting in decision making","2024","Small (10 to 49)","%","4.3"
"Enterprises using Artificial Intelligence for automating workflows or assisting in decision making","2024","Medium (50 to 249)","%","12.4"
"Enterprises using Artificial Intelligence for automating workflows or assisting in decision making","2024","Large (250 or more)","%","30.4"
"Enterprises using Artificial Intelligence for automating workflows or assisting in decision making","2025","All Enterprises","%","6.2"
"Enterprises using Artificial Intelligence for automating workflows or assisting in decision making","2025","Small (10 to 49)","%","4.3"
"Enterprises using Artificial Intelligence for automating workflows or assisting in decision making","2025","Medium (50 to 249)","%","11.6"
"Enterprises using Artificial Intelligence for automating workflows or assisting in decision making","2025","Large (250 or more)","%","28.6"
"Enterprises using Artificial Intelligence for  enabling physical movement of machines via autonomous decisions","2023","All Enterprises","%","0.7"
"Enterprises using Artificial Intelligence for  enabling physical movement of machines via autonomous decisions","2023","Small (10 to 49)","%",""
"Enterprises using Artificial Intelligence for  enabling physical movement of machines via autonomous decisions","2023","Medium (50 to 249)","%","1.9"
"Enterprises using Artificial Intelligence for  enabling physical movement of machines via autonomous decisions","2023","Large (250 or more)","%","7.8"
"Enterprises using Artificial Intelligence for  enabling physical movement of machines via autonomous decisions","2024","All Enterprises","%","1"
"Enterprises using Artificial Intelligence for  enabling physical movement of machines via autonomous decisions","2024","Small (10 to 49)","%","0.6"
"Enterprises using Artificial Intelligence for  enabling physical movement of machines via autonomous decisions","2024","Medium (50 to 249)","%","1.5"
"Enterprises using Artificial Intelligence for  enabling physical movement of machines via autonomous decisions","2024","Large (250 or more)","%","9.4"
"Enterprises using Artificial Intelligence for  enabling physical movement of machines via autonomous decisions","2025","All Enterprises","%","0.8"
"Enterprises using Artificial Intelligence for  enabling physical movement of machines via autonomous decisions","2025","Small (10 to 49)","%","0.3"
"Enterprises using Artificial Intelligence for  enabling physical movement of machines via autonomous decisions","2025","Medium (50 to 249)","%","2.1"
"Enterprises using Artificial Intelligence for  enabling physical movement of machines via autonomous decisions","2025","Large (250 or more)","%","7.9"
